ref,footprint,x_mm,y_mm,rotation,layer
LED064,LED_APA-102-2020-256-8:APA102_5050,300.0,60.0,0.0,F.Cu
LED065,LED_APA-102-2020-256-8:APA102_5050,0.0,80.0,0.0,F.Cu
LED066,LED_APA-102-2020-256-8:APA102_5050,20.0,80.0,0.0,F.Cu
LED067,LED_APA-102-2020-256-8:APA102_5050,40.0,80.0,0.0,F.Cu
LED068,LED_APA-102-2020-256-8:APA102_5050,60.0,80.0,0.0,F.Cu
LED069,LED_APA-102-2020-256-8:APA102_5050,80.0,80.0,0.0,F.Cu
LED070,LED_APA-102-2020-256-8:APA102_5050,100.0,80.0,0.0,F.Cu
LED071,LED_APA-102-2020-256-8:APA102_5050,120.0,80.0,0.0,F.Cu
LED072,LED_APA-102-2020-256-8:APA102_5050,140.0,80.0,0.0,F.Cu
LED073,LED_APA-102-2020-256-8:APA102_5050,160.0,80.0,0.0,F.Cu
LED074,LED_APA-102-2020-256-8:APA102_5050,180.0,80.0,0.0,F.Cu
LED075,LED_APA-102-2020-256-8:APA102_5050,200.0,80.0,0.0,F.Cu
LED076,LED_APA-102-2020-256-8:APA102_5050,220.0,80.0,0.0,F.Cu
LED077,LED_APA-102-2020-256-8:APA102_5050,240.0,80.0,0.0,F.Cu
LED078,LED_APA-102-2020-256-8:APA102_5050,260.0,80.0,0.0,F.Cu
LED079,LED_APA-102-2020-256-8:APA102_5050,280.0,80.0,0.0,F.Cu
LED080,LED_APA-102-2020-256-8:APA102_5050,300.0,80.0,0.0,F.Cu
LED081,LED_APA-102-2020-256-8:APA102_5050,0.0,100.0,0.0,F.Cu
LED082,LED_APA-102-2020-256-8:APA102_5050,20.0,100.0,0.0,F.Cu
LED083,LED_APA-102-2020-256-8:APA102_5050,40.0,100.0,0.0,F.Cu
LED084,LED_APA-102-2020-256-8:APA102_5050,60.0,100.0,0.0,F.Cu
LED085,LED_APA-102-2020-256-8:APA102_5050,80.0,100.0,0.0,F.Cu
LED086,LED_APA-102-2020-256-8:APA102_5050,100.0,100.0,0.0,F.Cu
LED087,LED_APA-102-2020-256-8:APA102_5050,120.0,100.0,0.0,F.Cu
LED088,LED_APA-102-2020-256-8:APA102_5050,140.0,100.0,0.0,F.Cu
LED089,LED_APA-102-2020-256-8:APA102_5050,160.0,100.0,0.0,F.Cu
LED090,LED_APA-102-2020-256-8:APA102_5050,180.0,100.0,0.0,F.Cu
LED091,LED_APA-102-2020-256-8:APA102_5050,200.0,100.0,0.0,F.Cu
LED092,LED_APA-102-2020-256-8:APA102_5050,220.0,100.0,0.0,F.Cu
LED093,LED_APA-102-2020-256-8:APA102_5050,240.0,100.0,0.0,F.Cu
LED094,LED_APA-102-2020-256-8:APA102_5050,260.0,100.0,0.0,F.Cu
LED095,LED_APA-102-2020-256-8:APA102_5050,280.0,100.0,0.0,F.Cu
LED096,LED_APA-102-2020-256-8:APA102_5050,300.0,100.0,0.0,F.Cu
LED097,LED_APA-102-2020-256-8:APA102_5050,0.0,120.0,0.0,F.Cu
LED098,LED_APA-102-2020-256-8:APA102_5050,20.0,120.0,0.0,F.Cu
LED099,LED_APA-102-2020-256-8:APA102_5050,40.0,120.0,0.0,F.Cu
LED100,LED_APA-102-2020-256-8:APA102_5050,60.0,120.0,0.0,F.Cu
LED101,LED_APA-102-2020-256-8:APA102_5050,80.0,120.0,0.0,F.Cu
LED102,LED_APA-102-2020-256-8:APA102_5050,100.0,120.0,0.0,F.Cu
LED103,LED_APA-102-2020-256-8:APA102_5050,120.0,120.0,0.0,F.Cu
LED104,LED_APA-102-2020-256-8:APA102_5050,140.0,120.0,0.0,F.Cu
LED105,LED_APA-102-2020-256-8:APA102_5050,160.0,120.0,0.0,F.Cu
LED106,LED_APA-102-2020-256-8:APA102_5050,180.0,120.0,0.0,F.Cu
LED107,LED_APA-102-2020-256-8:APA102_5050,200.0,120.0,0.0,F.Cu
LED108,LED_APA-102-2020-256-8:APA102_5050,220.0,120.0,0.0,F.Cu
LED109,LED_APA-102-2020-256-8:APA102_5050,240.0,120.0,0.0,F.Cu
LED110,LED_APA-102-2020-256-8:APA102_5050,260.0,120.0,0.0,F.Cu
LED111,LED_APA-102-2020-256-8:APA102_5050,280.0,120.0,0.0,F.Cu
LED112,LED_APA-102-2020-256-8:APA102_5050,300.0,120.0,0.0,F.Cu
LED113,LED_APA-102-2020-256-8:APA102_5050,0.0,140.0,0.0,F.Cu
LED114,LED_APA-102-2020-256-8:APA102_5050,20.0,140.0,0.0,F.Cu
LED115,LED_APA-102-2020-256-8:APA102_5050,40.0,140.0,0.0,F.Cu
LED116,LED_APA-102-2020-256-8:APA102_5050,60.0,140.0,0.0,F.Cu
LED117,LED_APA-102-2020-256-8:APA102_5050,80.0,140.0,0.0,F.Cu
LED118,LED_APA-102-2020-256-8:APA102_5050,100.0,140.0,0.0,F.Cu
LED119,LED_APA-102-2020-256-8:APA102_5050,120.0,140.0,0.0,F.Cu
LED120,LED_APA-102-2020-256-8:APA102_5050,140.0,140.0,0.0,F.Cu
LED121,LED_APA-102-2020-256-8:APA102_5050,160.0,140.0,0.0,F.Cu
LED122,LED_APA-102-2020-256-8:APA102_5050,180.0,140.0,0.0,F.Cu
LED123,LED_APA-102-2020-256-8:APA102_5050,200.0,140.0,0.0,F.Cu
LED124,LED_APA-102-2020-256-8:APA102_5050,220.0,140.0,0.0,F.Cu
LED125,LED_APA-102-2020-256-8:APA102_5050,240.0,140.0,0.0,F.Cu
LED126,LED_APA-102-2020-256-8:APA102_5050,260.0,140.0,0.0,F.Cu
LED127,LED_APA-102-2020-256-8:APA102_5050,280.0,140.0,0.0,F.Cu
LED128,LED_APA-102-2020-256-8:APA102_5050,300.0,140.0,0.0,F.Cu
LED129,LED_APA-102-2020-256-8:APA102_5050,0.0,160.0,0.0,F.Cu
LED130,LED_APA-102-2020-256-8:APA102_5050,20.0,160.0,0.0,F.Cu
LED131,LED_APA-102-2020-256-8:APA102_5050,40.0,160.0,0.0,F.Cu
LED132,LED_APA-102-2020-256-8:APA102_5050,60.0,160.0,0.0,F.Cu
LED133,LED_APA-102-2020-256-8:APA102_5050,80.0,160.0,0.0,F.Cu
LED134,LED_APA-102-2020-256-8:APA102_5050,100.0,160.0,0.0,F.Cu
LED135,LED_APA-102-2020-256-8:APA102_5050,120.0,160.0,0.0,F.Cu
LED136,LED_APA-102-2020-256-8:APA102_5050,140.0,160.0,0.0,F.Cu
LED137,LED_APA-102-2020-256-8:APA102_5050,160.0,160.0,0.0,F.Cu
LED138,LED_APA-102-2020-256-8:APA102_5050,180.0,160.0,0.0,F.Cu
LED139,LED_APA-102-2020-256-8:APA102_5050,200.0,160.0,0.0,F.Cu
