ref,footprint,x_mm,y_mm,rotation,layer
LED63,LED_APA-102-2020-256-8:APA102_5050,180.0,28.0,0.0,F.Cu
LED64,LED_APA-102-2020-256-8:APA102_5050,184.0,28.0,0.0,F.Cu
LED65,LED_APA-102-2020-256-8:APA102_5050,-2.0,50.0,0.0,F.Cu
LED66,LED_APA-102-2020-256-8:APA102_5050,2.0,50.0,0.0,F.Cu
LED67,LED_APA-102-2020-256-8:APA102_5050,-2.0,54.0,0.0,F.Cu
LED68,LED_APA-102-2020-256-8:APA102_5050,2.0,54.0,0.0,F.Cu
LED69,LED_APA-102-2020-256-8:APA102_5050,24.0,50.0,0.0,F.Cu
LED70,LED_APA-102-2020-256-8:APA102_5050,28.0,50.0,0.0,F.Cu
LED71,LED_APA-102-2020-256-8:APA102_5050,24.0,54.0,0.0,F.Cu
LED72,LED_APA-102-2020-256-8:APA102_5050,28.0,54.0,0.0,F.Cu
LED73,LED_APA-102-2020-256-8:APA102_5050,50.0,50.0,0.0,F.Cu
LED74,LED_APA-102-2020-256-8:APA102_5050,54.0,50.0,0.0,F.Cu
LED75,LED_APA-102-2020-256-8:APA102_5050,50.0,54.0,0.0,F.Cu
LED76,LED_APA-102-2020-256-8:APA102_5050,54.0,54.0,0.0,F.Cu
LED77,LED_APA-102-2020-256-8:APA102_5050,76.0,50.0,0.0,F.Cu
LED78,LED_APA-102-2020-256-8:APA102_5050,80.0,50.0,0.0,F.Cu
LED79,LED_APA-102-2020-256-8:APA102_5050,76.0,54.0,0.0,F.Cu
LED80,LED_APA-102-2020-256-8:APA102_5050,80.0,54.0,0.0,F.Cu
LED81,LED_APA-102-2020-256-8:APA102_5050,102.0,50.0,0.0,F.Cu
LED82,LED_APA-102-2020-256-8:APA102_5050,106.0,50.0,0.0,F.Cu
LED83,LED_APA-102-2020-256-8:APA102_5050,102.0,54.0,0.0,F.Cu
LED84,LED_APA-102-2020-256-8:APA102_5050,106.0,54.0,0.0,F.Cu
LED85,LED_APA-102-2020-256-8:APA102_5050,128.0,50.0,0.0,F.Cu
LED86,LED_APA-102-2020-256-8:APA102_5050,132.0,50.0,0.0,F.Cu
LED87,LED_APA-102-2020-256-8:APA102_5050,128.0,54.0,0.0,F.Cu
LED88,LED_APA-102-2020-256-8:APA102_5050,132.0,54.0,0.0,F.Cu
LED89,LED_APA-102-2020-256-8:APA102_5050,154.0,50.0,0.0,F.Cu
LED90,LED_APA-102-2020-256-8:APA102_5050,158.0,50.0,0.0,F.Cu
LED91,LED_APA-102-2020-256-8:APA102_5050,154.0,54.0,0.0,F.Cu
LED92,LED_APA-102-2020-256-8:APA102_5050,158.0,54.0,0.0,F.Cu
LED93,LED_APA-102-2020-256-8:APA102_5050,180.0,50.0,0.0,F.Cu
LED94,LED_APA-102-2020-256-8:APA102_5050,184.0,50.0,0.0,F.Cu
LED95,LED_APA-102-2020-256-8:APA102_5050,180.0,54.0,0.0,F.Cu
LED96,LED_APA-102-2020-256-8:APA102_5050,184.0,54.0,0.0,F.Cu
LED97,LED_APA-102-2020-256-8:APA102_5050,-2.0,76.0,0.0,F.Cu
LED98,LED_APA-102-2020-256-8:APA102_5050,2.0,76.0,0.0,F.Cu
LED99,LED_APA-102-2020-256-8:APA102_5050,-2.0,80.0,0.0,F.Cu
LED100,LED_APA-102-2020-256-8:APA102_5050,2.0,80.0,0.0,F.Cu
LED101,LED_APA-102-2020-256-8:APA102_5050,24.0,76.0,0.0,F.Cu
LED102,LED_APA-102-2020-256-8:APA102_5050,28.0,76.0,0.0,F.Cu
LED103,LED_APA-102-2020-256-8:APA102_5050,24.0,80.0,0.0,F.Cu
LED104,LED_APA-102-2020-256-8:APA102_5050,28.0,80.0,0.0,F.Cu
LED105,LED_APA-102-2020-256-8:APA102_5050,50.0,76.0,0.0,F.Cu
LED106,LED_APA-102-2020-256-8:APA102_5050,54.0,76.0,0.0,F.Cu
LED107,LED_APA-102-2020-256-8:APA102_5050,50.0,80.0,0.0,F.Cu
LED108,LED_APA-102-2020-256-8:APA102_5050,54.0,80.0,0.0,F.Cu
LED109,LED_APA-102-2020-256-8:APA102_5050,76.0,76.0,0.0,F.Cu
LED110,LED_APA-102-2020-256-8:APA102_5050,80.0,76.0,0.0,F.Cu
LED111,LED_APA-102-2020-256-8:APA102_5050,76.0,80.0,0.0,F.Cu
LED112,LED_APA-102-2020-256-8:APA102_5050,80.0,80.0,0.0,F.Cu
LED113,LED_APA-102-2020-256-8:APA102_5050,102.0,76.0,0.0,F.Cu
LED114,LED_APA-102-2020-256-8:APA102_5050,106.0,76.0,0.0,F.Cu
LED115,LED_APA-102-2020-256-8:APA102_5050,102.0,80.0,0.0,F.Cu
LED116,LED_APA-102-2020-256-8:APA102_5050,106.0,80.0,0.0,F.Cu
